['n_bigram'],0.464763
['n_trigram'],0.472400
['n_freq_pos_seq'],0.474616
['n_subj_el_big'],0.467084
['n_subj_el_total'],0.468116
['hypernym_count'],0.452926
['hypernym_count_sent'],0.469405
['hyponyms_count'],0.459794
['hyponyms_count_sent'],0.474292
['nErrors'],0.464362
['nErrorsTokens'],0.451364
['ntokens'],0.454352
['fleshscore'],0.469965
['avgWordLength'],0.473778
['nSpelling'],0.473890
['nSpellingTokens'],0.467086
['nLongSentence'],0.446774
['nStyleErrors'],0.469038
['nStyleperSent'],0.451621
['nvoc'],0.456325
['similarityprompt'],0.460180
['countDemonstrativo'],0.474885
['demonstrativoPerSent'],0.468486
['countEnclise'],0.469812
['enclisePerSent'],0.470364
['fstPerson'],0.474803
['fstPessoaPerSent'],0.467866
['countDiscourseMarkers'],0.463237
['discourseSent'],0.471594
['nLongSentence', 'n_bigram'],0.453285
['nLongSentence', 'n_trigram'],0.448009
['nLongSentence', 'n_freq_pos_seq'],0.450422
['nLongSentence', 'n_subj_el_big'],0.450617
['nLongSentence', 'n_subj_el_total'],0.455841
['nLongSentence', 'hypernym_count'],0.448127
['nLongSentence', 'hypernym_count_sent'],0.453151
['nLongSentence', 'hyponyms_count'],0.449115
['nLongSentence', 'hyponyms_count_sent'],0.454555
['nLongSentence', 'nErrors'],0.449363
['nLongSentence', 'nErrorsTokens'],0.448235
['nLongSentence', 'ntokens'],0.449526
['nLongSentence', 'fleshscore'],0.449297
['nLongSentence', 'avgWordLength'],0.448002
['nLongSentence', 'nSpelling'],0.457203
['nLongSentence', 'nSpellingTokens'],0.453449
['nLongSentence', 'nStyleErrors'],0.449460
['nLongSentence', 'nStyleperSent'],0.447064
['nLongSentence', 'nvoc'],0.447557
['nLongSentence', 'similarityprompt'],0.456156
['nLongSentence', 'countDemonstrativo'],0.452455
['nLongSentence', 'demonstrativoPerSent'],0.456421
['nLongSentence', 'countEnclise'],0.457342
['nLongSentence', 'enclisePerSent'],0.457865
['nLongSentence', 'fstPerson'],0.452062
['nLongSentence', 'fstPessoaPerSent'],0.457548
['nLongSentence', 'countDiscourseMarkers'],0.452670
['nLongSentence', 'discourseSent'],0.454949
['nLongSentence', 'nStyleperSent', 'n_bigram'],0.448195
['nLongSentence', 'nStyleperSent', 'n_trigram'],0.449977
['nLongSentence', 'nStyleperSent', 'n_freq_pos_seq'],0.448794
['nLongSentence', 'nStyleperSent', 'n_subj_el_big'],0.446954
['nLongSentence', 'nStyleperSent', 'n_subj_el_total'],0.454272
['nLongSentence', 'nStyleperSent', 'hypernym_count'],0.444935
['nLongSentence', 'nStyleperSent', 'hypernym_count_sent'],0.445471
['nLongSentence', 'nStyleperSent', 'hyponyms_count'],0.449454
['nLongSentence', 'nStyleperSent', 'hyponyms_count_sent'],0.448192
