['n_bigram'],0.398913
['n_trigram'],0.405670
['n_freq_pos_seq'],0.408658
['n_subj_el_big'],0.399398
['n_subj_el_total'],0.401991
['hypernym_count'],0.385746
['hypernym_count_sent'],0.406486
['hyponyms_count'],0.400717
['hyponyms_count_sent'],0.407493
['nErrors'],0.400596
['nErrorsTokens'],0.393654
['ntokens'],0.382231
['fleshscore'],0.408681
['avgWordLength'],0.407037
['nSpelling'],0.404308
['nSpellingTokens'],0.408090
['nLongSentence'],0.388454
['nStyleErrors'],0.404783
['nStyleperSent'],0.391048
['nvoc'],0.385511
['similarityprompt'],0.387822
['countDemonstrativo'],0.408656
['demonstrativoPerSent'],0.404618
['countEnclise'],0.402810
['enclisePerSent'],0.402993
['fstPerson'],0.407252
['fstPessoaPerSent'],0.404140
['countDiscourseMarkers'],0.398957
['discourseSent'],0.407449
['ntokens', 'n_bigram'],0.386045
['ntokens', 'n_trigram'],0.381527
['ntokens', 'n_freq_pos_seq'],0.380870
['ntokens', 'n_subj_el_big'],0.384188
['ntokens', 'n_subj_el_total'],0.386904
['ntokens', 'hypernym_count'],0.385893
['ntokens', 'hypernym_count_sent'],0.381205
['ntokens', 'hyponyms_count'],0.382586
['ntokens', 'hyponyms_count_sent'],0.382079
['ntokens', 'nErrors'],0.376985
['ntokens', 'nErrorsTokens'],0.377715
['ntokens', 'fleshscore'],0.386448
['ntokens', 'avgWordLength'],0.384397
['ntokens', 'nSpelling'],0.382823
['ntokens', 'nSpellingTokens'],0.385199
['ntokens', 'nLongSentence'],0.385497
['ntokens', 'nStyleErrors'],0.374457
['ntokens', 'nStyleperSent'],0.376359
['ntokens', 'nvoc'],0.385314
['ntokens', 'similarityprompt'],0.384356
['ntokens', 'countDemonstrativo'],0.384592
['ntokens', 'demonstrativoPerSent'],0.379091
['ntokens', 'countEnclise'],0.384454
['ntokens', 'enclisePerSent'],0.385806
['ntokens', 'fstPerson'],0.381814
['ntokens', 'fstPessoaPerSent'],0.381590
